date,zipcode,time_block,traffic_volume,avg_travel_time
2012-02-11,11207,21,1363.0,235.0
2012-02-11,11223,4,66.0,544.0
2012-02-11,11223,6,83.0,544.0
2012-02-11,11223,9,237.0,544.0
2012-02-11,11223,10,284.0,544.0
2012-02-11,11223,11,314.0,544.0
2012-02-11,11223,14,428.0,544.0
2012-02-11,11226,0,171.5,381.0
2012-02-11,11226,7,119.5,381.0
2012-02-11,11226,9,298.0,381.0
2012-02-11,11226,17,398.0,381.0
2012-02-11,11226,18,388.0,381.0
2012-02-11,11385,1,100.0,147.0
2012-02-11,11385,7,143.25,147.0
2012-02-11,11385,15,404.75,147.0
2012-02-12,11385,1,94.0,270.0
2012-02-12,11385,23,87.0,270.0
2012-02-12,11420,5,21.0,364.0
2012-02-12,11420,6,33.5,364.0
2012-02-12,11434,0,245.0,204.0
2012-02-12,11434,7,169.0,204.0
2012-02-13,10466,5,3.0,602.0
2012-02-13,10466,6,4.0,602.0
2012-02-13,10466,7,6.0,602.0
2012-02-13,10466,9,14.0,602.0
2012-02-13,11377,1,92.5,538.0
2012-02-13,11377,5,443.5,538.0
2012-02-14,10456,0,169.0,455.0
2012-02-14,10456,5,96.0,455.0
2012-02-14,10456,8,661.5,455.0
2012-02-14,10456,12,542.5,455.0
2012-02-14,10456,21,386.5,455.0
2012-02-14,10458,2,74.0,558.0
2012-02-14,10458,4,59.5,558.0
2012-02-14,10458,9,583.6666666666666,558.0
2012-02-14,10458,19,481.3333333333333,558.0
2012-02-14,10458,21,412.1666666666667,558.0
2012-02-14,10459,2,24.0,297.0
2012-02-14,10459,3,11.5,297.0
2012-02-14,10459,9,278.0,297.0
2012-02-14,10459,12,289.0,297.0
2012-02-14,10459,18,346.5,297.0
2012-02-14,10459,22,101.5,297.0
2012-02-14,10461,4,38.5,287.0
2012-02-14,10461,12,490.1,287.0
2012-02-14,10461,13,512.0,287.0
2012-02-14,10461,18,518.7,287.0
2012-02-14,10461,21,247.7,287.0
2012-02-14,11377,12,219.0,267.0
2012-02-14,11377,14,211.0,267.0
2012-02-14,11377,19,186.0,267.0
2012-02-14,11377,20,141.0,267.0
2012-02-14,11377,22,76.0,267.0
2012-02-15,10039,10,179.33333333333334,270.0
2012-02-15,10039,21,119.66666666666667,270.0
2012-02-15,10459,2,24.5,532.0
2012-02-15,10459,3,25.5,532.0
2012-02-15,10459,8,355.5,532.0
2012-02-15,10459,16,393.5,532.0
2012-02-15,10468,4,90.375,844.0
2012-02-15,10468,9,417.125,844.0
2012-02-15,10468,11,367.875,844.0
2012-02-16,10453,7,318.6666666666667,260.0
2012-02-16,10453,10,353.6666666666667,260.0
2012-02-16,10458,8,492.3333333333333,539.5
